pais,iso_alpha,titular,enlace,fecha
Ecuador,ECU,Daniel Salcedo cambia a última hora de abogado e impide que se instale audiencia de casación en caso por peculado; jueces advierten ‘maniobras dilatorias’,https://www.eluniverso.com/noticias/politica/daniel-salcedo-cambia-ultima-hora-abogado-impide-instale-audienia-casacion-caso-peculado-jueces-advierten-maniobras-dilatorias-nota/,2026-01-19 13:19
Venezuela,VEN,Cerca de 80% de los venezolanos votaría por María Corina Machado en unas elecciones presidenciales,https://www.elnacional.com/2026/01/la-mayoria-de-venezolanos-votaria-por-maria-corina-machado/,2026-01-19 13:19
Venezuela,VEN,Zapatero usó a Víctor de Aldama como intermediario con Delcy Rodríguez,https://www.elnacional.com/2026/01/zapatero-uso-a-aldama-como-intermediario-con-delcy-rodriguez/,2026-01-19 13:19
Venezuela,VEN,Bonistas de Venezuela se preparan para negociar reestructuración de deuda de miles de millones de dólares,https://www.elnacional.com/2026/01/bonistas-de-venezuela-se-preparan-para-negociar-reestructuracion-de-deuda-de-miles-de-millones-de-dolares/,2026-01-19 13:19
Venezuela,VEN,La ONU denuncia un aumento alarmante del recurso a la pena capital en 2025,https://www.elnacional.com/2026/01/la-onu-denuncia-un-aumento-alarmante-del-recurso-a-la-pena-capital-en-2025/,2026-01-19 13:19
Venezuela,VEN,Los multimillonarios hermanos Batista aspiran entrar en el negocio petrolero venezolano,https://www.elnacional.com/2026/01/los-multimillonarios-hermanos-batista-aspiran-entrar-en-el-negocio-petrolero-venezolano/,2026-01-19 13:19
Uruguay,URY,Polémica en la Caja de Profesionales: los argumentos de un director para defender la partida de $131.000,https://www.elpais.com.uy/informacion/politica/polemica-en-la-caja-de-profesionales-los-argumentos-de-un-director-para-defender-la-partida-de-131-000,2026-01-19 13:19
Uruguay,URY,Incendio en Rocha: despliegan helicópteros y maquinaria para evitar que el fuego cruce la ruta 9,https://www.elpais.com.uy/informacion/policiales/incendio-en-rocha-despliegan-helicopteros-y-maquinaria-para-evitar-que-el-fuego-cruce-la-ruta-9,2026-01-19 13:19
Uruguay,URY,Mujer denuncia que una patota golpeó brutalmente a su hijo y a un amigo a la salida de un baile en Rocha,https://www.elpais.com.uy/informacion/policiales/mujer-denuncia-que-una-patota-golpeo-brutalmente-a-su-hijo-y-a-un-amigo-a-la-salida-de-un-baile-en-rocha,2026-01-19 13:19
Uruguay,URY,"""Me despedí de mi hermana embarazada"": desgarrador testimonio de sobreviviente de accidente de tren en España",https://www.elpais.com.uy/mundo/espana/me-despedi-de-mi-hermana-embarazada-desgarrador-testimonio-de-sobreviviente-de-accidente-de-tren-en-espana,2026-01-19 13:19
Uruguay,URY,"""Raro y difícil de explicar"": la investigación tras el accidente de trenes que conmociona a España",https://www.elpais.com.uy/mundo/espana/raro-y-dificil-de-explicar-la-investigacion-tras-el-accidente-de-trenes-que-conmociona-a-espana,2026-01-19 13:19
Paraguay,PRY,Negocios,No encontrado,2026-01-19 13:19
Paraguay,PRY,Mundo,No encontrado,2026-01-19 13:19
Paraguay,PRY,Ciencia,No encontrado,2026-01-19 13:19
Paraguay,PRY,Tecnología,No encontrado,2026-01-19 13:19
Paraguay,PRY,Gastronomía,No encontrado,2026-01-19 13:19
Japón,JPN,National Report,https://www.asahi.com/ajw/national_report/,2026-01-19 13:19
Japón,JPN,Politics,https://www.asahi.com/ajw/politics/,2026-01-19 13:19
Japón,JPN,Business,https://www.asahi.com/ajw/business/,2026-01-19 13:19
Japón,JPN,Asia & World,https://www.asahi.com/ajw/asia_world/,2026-01-19 13:19
Japón,JPN,Sci & Tech,https://www.asahi.com/ajw/sci_tech/,2026-01-19 13:19
China,CHN,Blueprint seen as a boon for entire world,https://www.chinadaily.com.cn/a/202601/19/WS696d6633a310d6866eb345e4.html,2026-01-19 13:19
China,CHN,VIDEO+,https://www.chinadaily.com.cn/video,2026-01-19 13:19
China,CHN,China+,https://www.chinadaily.com.cn/china,2026-01-19 13:19
China,CHN,Business+,https://www.chinadaily.com.cn/business,2026-01-19 13:19
China,CHN,Culture+,https://www.chinadaily.com.cn/culture,2026-01-19 13:19
India,IND,Why Terrorism Cannot Be Defeated the Way Films Suggest,https://timesofindia.indiatimes.com/toi-plus/defence-security/what-superhit-movies-dont-say-about-fighting-terrorists/articleshow/126698592.cms,2026-01-19 13:19
India,IND,Trump’s Military Push Could Force the World to Spend More on War,https://timesofindia.indiatimes.com/toi-plus/international/is-trump-starting-an-arms-race/articleshow/126696551.cms,2026-01-19 13:19
India,IND,The importance of 'metabolic health' and how to maintain it,https://timesofindia.indiatimes.com/toi-plus/health/how-to-know-whether-your-metabolic-health-is-fine-and-what-to-do-about-it/articleshow/126672135.cms,2026-01-19 13:19
India,IND,Key Changes in JEE Main 2025 Exam Pattern,https://timesofindia.indiatimes.com/education/web-stories/key-changes-in-jee-main-2025-exam-pattern/photostory/114429351.cms,2026-01-19 13:19
India,IND,Planning to buy a family e-scooter? Check these popular models for daily commutes,https://timesofindia.indiatimes.com/auto/electric-bikes/planning-to-buy-a-family-e-scooter-check-these-popular-models-with-decent-range/articleshow/126676976.cms,2026-01-19 13:19
