country,material,price,currency,unit,source,date,source_url,extraction_date
Kuwait,Apartamento (m2 Centro),5322.45,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Latvia,Apartamento (m2 Centro),3024.92,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Lebanon,Apartamento (m2 Centro),2674.57,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Libya,Apartamento (m2 Centro),583.44,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Lithuania,Apartamento (m2 Centro),4076.46,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Luxembourg,Apartamento (m2 Centro),11506.86,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Malaysia,Apartamento (m2 Centro),2191.63,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Malta,Apartamento (m2 Centro),4496.69,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Mauritius,Apartamento (m2 Centro),3908.67,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Mexico,Apartamento (m2 Centro),2730.86,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Moldova,Apartamento (m2 Centro),2636.6,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Montenegro,Apartamento (m2 Centro),3101.46,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Morocco,Apartamento (m2 Centro),1622.67,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Nepal,Apartamento (m2 Centro),2298.96,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Netherlands,Apartamento (m2 Centro),6955.54,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
New Zealand,Apartamento (m2 Centro),5575.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Nigeria,Apartamento (m2 Centro),2672.54,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
North Macedonia,Apartamento (m2 Centro),1978.62,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Norway,Apartamento (m2 Centro),7295.82,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Oman,Apartamento (m2 Centro),2176.31,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Pakistan,Apartamento (m2 Centro),874.89,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Panama,Apartamento (m2 Centro),2962.93,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Peru,Apartamento (m2 Centro),2189.69,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Philippines,Apartamento (m2 Centro),2939.27,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Poland,Apartamento (m2 Centro),4041.19,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Portugal,Apartamento (m2 Centro),4145.71,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Puerto Rico,Apartamento (m2 Centro),5118.86,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Qatar,Apartamento (m2 Centro),5034.42,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Romania,Apartamento (m2 Centro),2698.44,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Russia,Apartamento (m2 Centro),2570.4,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Saudi Arabia,Apartamento (m2 Centro),2294.24,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Serbia,Apartamento (m2 Centro),3353.32,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Singapore,Apartamento (m2 Centro),23778.72,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Slovakia,Apartamento (m2 Centro),4053.21,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Slovenia,Apartamento (m2 Centro),5007.95,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
South Africa,Apartamento (m2 Centro),1166.89,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
South Korea,Apartamento (m2 Centro),13932.29,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Spain,Apartamento (m2 Centro),4494.34,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Sri Lanka,Apartamento (m2 Centro),3619.26,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Sweden,Apartamento (m2 Centro),6545.38,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Switzerland,Apartamento (m2 Centro),19077.08,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Taiwan,Apartamento (m2 Centro),10320.01,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
